Title,Certificate,Runtime,Genres,IMDb-rating,Metascore,Description,Directors,Stars,Votes,Gross
Y Tu Mamá También,R,106 min,Drama,7.6,88,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Alfonso Cuarón,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado",112062,13622333
The Orphanage,R,105 min,"Drama, Horror, Mystery",7.4,74,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",J.A. Bayona,"Belén Rueda, Fernando Cayo, Roger Príncep, Mabel Rivera",143186,7161284
XXY,Not Rated,91 min,"Drama, Romance",7.1,67,"The story of an intersexual fifteen-year-old. She lives with her parents, who have to cope with the challenges of her medical condition.",Lucía Puenzo,"Ricardo Darín, Valeria Bertuccelli, Germán Palacios, Carolina Pelleritti",12830,46011
La Haine,Not Rated,98 min,"Crime, Drama",8.1,,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",140685,309811
No Man's Land,R,98 min,"Comedy, Drama, War",7.9,84,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",Danis Tanovic,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis",43518,1059830
Amores Perros,R,154 min,"Drama, Thriller",8.1,83,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero",216376,5383834
Old Men in New Cars - In China essen sie Hunde 2,Not Rated,95 min,"Action, Comedy, Crime",6.8,,"Fresh out of a Danish prison, Harald bosses his old gang around, into visiting his hospitalized foster dad, who wants to see his bio son before dying. The son's in a Swedish prison. Then there's a money matter - robbing a bank.",Lasse Spang Olsen,"Kim Bodnia, Torkel Petersson, Tomas Villum Jensen, Nikolaj Lie Kaas",8621,
In China They Eat Dogs,Not Rated,91 min,"Action, Comedy, Crime",7.4,,"Two brothers, one cold and ruthless, the other sensitive and reluctant, and their brutal misadventures.",Lasse Spang Olsen,"Kim Bodnia, Dejan Cukic, Nikolaj Lie Kaas, Tomas Villum Jensen",19295,
The Girl with the Dragon Tattoo,R,152 min,"Crime, Drama, Mystery",7.8,76,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling, Lena Endre",204421,10095170
Matador,NC-17,110 min,"Drama, Thriller",7,,A matador is wounded by a bull and can no longer kill in the arena. It just a one flaw besides many others from several characters whom unsuspected collide.,Pedro Almodóvar,"Assumpta Serna, Antonio Banderas, Nacho Martínez, Eva Cobo",10355,206952
Elling,R,89 min,"Comedy, Drama",7.5,70,"When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and...                See full summary »",Petter Næss,"Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen, Jørgen Langhelle",13802,313436
Im Weltraum gibt es keine Gefühle,,85 min,"Comedy, Drama, Romance",7.1,,A younger brother with Aspergers syndrome helps his older brother find a girlfriend.,Andreas Öhman,"Bill Skarsgård, Martin Wallström, Cecilia Forss, Sofie Hamilton",8205,
