season,episode,release,title,rating,description
5,15,20 May 1995,Deep Space Homer,8.8,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task."
5,16,27 May 1995,Homer Loves Flanders,8.5,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him."
5,17,3 Jun. 1995,Bart Gets an Elephant,7.9,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it."
5,18,10 Jun. 1995,Burns' Heir,8.4,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature."
5,19,17 Jun. 1995,Sweet Seymour Skinner's Baadasssss Song,8.4,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement."
5,20,24 Jun. 1995,The Boy Who Knew Too Much,8.3,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences."
5,21,1 Jul. 1995,Lady Bouvier's Lover,7.6,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart."
5,22,8 Jul. 1995,Secrets of a Successful Marriage,8.1,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge."
6,1,15 Jul. 1995,Bart of Darkness,8.7,"After he breaks his leg and becomes confined to his room, Bart begins spying on the neighbors with his telescope, and suspects Ned of murdering Maude."
6,2,22 Jul. 1995,Lisa's Rival,8.1,"Lisa is jealous when a new girl in class is smarter than she is. Meanwhile, Homer obtains a massive amount of sugar."
6,3,29 Jul. 1995,Another Simpsons Clip Show,5.9,The family recalls past tales of lost love.
6,4,5 Aug. 1995,Itchy & Scratchy Land,8.6,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.
6,5,12 Aug. 1995,Sideshow Bob Roberts,8.3,"Sideshow Bob is released from prison and runs for Mayor of Springfield. When he wins the election, Bart and Lisa suspect foul play and are determined to expose Bob's corruption."
6,6,27 Dec. 1999,Treehouse of Horror V,9.2,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.
6,7,19 Aug. 1995,Bart's Girlfriend,8.1,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.
6,8,3 Sep. 1995,Lisa on Ice,8.6,"Homer gives all his attention to Bart because he is the star of his hockey team, which makes Lisa jealous. But when a rival team discovers that she is an excellent goalie, Bart suddenly has a rival for Homer's attention."
6,9,10 Sep. 1995,Homer Badman,9.0,"After a series of misunderstandings, Homer is labeled a pervert, and must try to clear his name."
6,10,17 Sep. 1995,Grampa vs. Sexual Inadequacy,8.1,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.
6,11,24 Sep. 1995,Fear of Flying,7.8,Marge goes into therapy to cure her of her traumatizing fear of flying.
6,12,1 Oct. 1995,Homer the Great,9.0,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one""."
6,13,8 Oct. 1995,And Maggie Makes Three,8.8,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.
6,14,15 Oct. 1995,Bart's Comet,8.7,Bart discovers a comet that is on a collision course with Springfield.
6,15,22 Oct. 1995,Homie the Clown,8.6,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia."
6,16,29 Oct. 1995,Bart vs. Australia,8.5,"After he makes a collect call to Australia and refuses to pay for it, Bart sparks an international incident, with the Simpsons forced to travel to the country in order to repair political relations."
6,17,5 Nov. 1995,Homer vs. Patty and Selma,7.9,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet."
6,18,12 Nov. 1995,A Star Is Burns,8.5,"The citizens of Springfield host their very own film festival, with a popular movie critic from New York arriving to judge."
6,19,19 Nov. 1995,Lisa's Wedding,8.3,A fortune teller gives Lisa a look at her wedding in the year 2010.
6,20,26 Nov. 1995,Two Dozen and One Greyhounds,8.2,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat."
6,21,3 Dec. 1995,The PTA Disbands,8.1,Marge fills in for Mrs. Krabappel during a teachers' strike.
6,22,31 Dec. 1995,'Round Springfield,8.2,"When Bart is hospitalized, Lisa runs into her hero, Bleeding Gums Murphy, who is also a patient. However, when he dies soon after, she is devastated."
6,23,10 Dec. 1995,The Springfield Connection,8.2,Marge deals with corruption and crime when she joins the Springfield police force.
6,24,17 Dec. 1995,Lemon of Troy,8.7,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back."
6,25,3 Nov. 1996,Who Shot Mr. Burns? Part One,9.2,"After Mr. Burns steals oil from Springfield Elementary, an unknown person, seemingly in retaliation, shoots him."
7,1,4 Nov. 1996,Who Shot Mr. Burns? Part Two,9.0,"As Chief Wiggums conducts a manhunt to find Mr. Burns' assailant, Homer becomes the prime suspect."
7,2,5 Nov. 1996,Radioactive Man,8.3,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.
7,3,6 Nov. 1996,Home Sweet Home-Dum-Diddly Doodily,8.4,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house."
7,4,7 Nov. 1996,Bart Sells His Soul,8.8,Bart casually sells his soul to Milhouse for five dollars but later regrets it. Moe converts his dank bar into a fun family restaurant.
7,5,8 Nov. 1995,Lisa the Vegetarian,8.5,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so."
7,6,27 Dec. 1999,Treehouse of Horror VI,8.6,A freak lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.
7,7,11 Nov. 1996,King Size Homer,9.0,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems."
7,8,12 Nov. 1996,Mother Simpson,8.6,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret."
7,9,13 Nov. 1996,Sideshow Bob's Last Gleaming,8.0,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air."
7,10,27 Oct. 1997,The Simpsons 138th Episode Spectacular!,7.5,Troy McClure hosts a retrospective of the first 137 episodes of Die Simpsons (1989).
7,11,14 Nov. 1996,Marge Be Not Proud,8.4,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.
7,12,15 Nov. 1996,Team Homer,8.3,"Homer starts a bowling team with Moe, Apu and Otto, but when Mr. Burns discovers the team was funded with his money, he insists on joining. Meanwhile, Springfield Elementary introduces uniforms."
7,13,18 Nov. 1996,Two Bad Neighbors,8.6,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer."
7,14,19 Nov. 1996,Scenes from the Class Struggle in Springfield,7.7,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in."
7,15,20 Nov. 1996,Bart the Fink,7.7,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action."
7,16,21 Nov. 1996,Lisa the Iconoclast,8.2,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.
7,17,22 Nov. 1996,Homer the Smithers,8.9,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement."
7,18,25 Nov. 1996,The Day the Violence Died,8.1,"Bart and Lisa meet a homeless person who claims to have created Itchy, the mouse from their favorite cartoon series, ""Itchy & Scratchy."""
7,19,26 Nov. 1996,A Fish Called Selma,8.2,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.
7,20,27 Nov. 1996,Bart on the Road,8.6,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant."
7,21,28 Nov. 1996,22 Short Films About Springfield,8.9,A series of vignettes highlights a day in the life of various Springfield residents.
7,22,29 Nov. 1996,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.4,"Another member of Grampa Simpson's WWII platoon dies, leaving only him and Mr. Burns. Years earlier, the men stole a number of priceless masterpieces from Nazi Germany, and now Mr. Burns aims to ensure he is the one to inherit them."
7,23,2 Dec. 1996,Much Apu About Nothing,8.1,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen."
7,24,3 Dec. 1996,Homerpalooza,8.0,"Determined to prove he is still cool, Homer takes Bart and Lisa to the Hullabalooza music festival, where he finds he has a talent for being shot in the stomach, and joins the festival's freak show."
7,25,4 Dec. 1996,"Summer of 4'2""",8.4,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself."
8,1,31 Oct. 1998,Treehouse of Horror VII,8.4,Bart discovers his Siamese twin in the attic; Lisa becomes a God after she accidentally creates life in a science fair project; Kang and Kodos plot to conquer the planet.
8,2,28 Oct. 1997,You Only Move Twice,9.2,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer."
8,3,29 Oct. 1998,The Homer They Fall,8.1,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.
8,4,30 Oct. 1997,"Burns, Baby Burns",7.7,"The Simpsons try to reunite Homer's boss, Mr. Burns, with Larry, Burns' long-lost son."
8,5,2 Nov. 1997,Bart After Dark,8.3,Marge leads a crusade against a local burlesque house after she discovers Bart working there.
8,6,3 Oct. 1997,A Milhouse Divided,8.1,"When Kirk and Luann hit a roadblock in their marriage, Luann announces she's getting a divorce, causing Homer to worry about his own marriage."
